,team,runs,BB,1B,2B,3B,HR,ParkID
0,"""LAN""",5,9,7,0,0,0,"""SEO01"""
1,"""SDN""",2,4,4,0,0,0,"""SEO01"""
2,"""SDN""",15,6,13,3,1,1,"""SEO01"""
3,"""LAN""",11,6,12,3,0,1,"""SEO01"""
4,"""COL""",1,3,2,2,0,0,"""PHO01"""
5,"""ARI""",16,3,14,3,0,1,"""PHO01"""
6,"""WAS""",2,0,5,0,0,1,"""CIN09"""
7,"""CIN""",8,2,5,3,0,2,"""CIN09"""
8,"""SLN""",1,1,2,0,0,1,"""LOS03"""
9,"""LAN""",7,4,6,2,0,2,"""LOS03"""
10,"""PIT""",6,8,4,2,0,3,"""MIA02"""
11,"""MIA""",5,4,6,2,0,0,"""MIA02"""
12,"""SFN""",4,1,6,2,0,1,"""SAN02"""
13,"""SDN""",6,3,8,1,0,0,"""SAN02"""
14,"""ANA""",3,3,0,1,0,1,"""BAL12"""
15,"""BAL""",11,6,6,2,0,2,"""BAL12"""
16,"""DET""",1,1,6,0,0,0,"""CHI12"""
17,"""CHA""",0,0,3,0,0,0,"""CHI12"""
18,"""NYA""",5,9,6,1,0,1,"""HOU03"""
19,"""HOU""",4,2,11,1,0,1,"""HOU03"""
20,"""MIN""",4,5,8,1,0,1,"""KAN06"""
21,"""KCA""",1,1,2,2,0,1,"""KAN06"""
22,"""CLE""",8,3,6,4,1,0,"""OAK01"""
23,"""OAK""",0,1,3,1,0,0,"""OAK01"""
24,"""BOS""",6,2,6,2,1,2,"""SEA03"""
25,"""SEA""",4,1,4,2,0,2,"""SEA03"""
26,"""TOR""",8,7,3,1,0,3,"""STP01"""
27,"""TBA""",2,2,4,3,0,1,"""STP01"""
28,"""CHN""",3,5,2,3,1,0,"""ARL03"""
29,"""TEX""",4,6,4,2,0,2,"""ARL03"""
30,"""COL""",3,0,4,1,1,1,"""PHO01"""
31,"""ARI""",7,4,9,2,0,3,"""PHO01"""
32,"""SLN""",3,2,5,1,0,0,"""LOS03"""
33,"""LAN""",6,2,2,1,0,4,"""LOS03"""
34,"""PIT""",7,7,7,3,0,0,"""MIA02"""
35,"""MIA""",2,4,8,1,0,0,"""MIA02"""
