Name,Team,PA,BB,1B,2B,3B,HR
Aaron Judge,NYY,704,133,85,36,1,58
Juan Soto,NYY,713,129,90,31,4,41
Kyle Schwarber,PHI,692,106,82,22,0,38
Shohei Ohtani,LAD,731,81,98,38,7,54
Ian Happ,CHC,657,80,77,34,2,25
Jonathan India,CIN,637,80,87,28,2,15
Freddie Freeman,LAD,638,78,94,35,2,22
William Contreras,MIL,679,78,105,37,2,23
Gunnar Henderson,BAL,719,78,102,31,7,37
Brandon Nimmo,NYM,663,77,77,25,3,23
Jurickson Profar,SDP,668,76,105,29,0,24
Bryce Harper,PHI,631,76,85,42,0,30
Isaac Paredes,- - -,641,76,84,25,1,19
Marcell Ozuna,ATL,688,74,113,31,0,39
Willy Adames,MIL,688,74,88,33,0,32
Randy Arozarena,- - -,648,73,67,33,0,20
Corbin Carroll,ARI,684,73,78,22,14,22
Vladimir Guerrero Jr.,TOR,697,72,124,44,1,30
Spencer Steer,CIN,656,72,71,34,4,20
Matt Olson,ATL,685,71,81,37,1,29
Nathaniel Lowe,TEX,565,71,96,16,1,16
Pete Alonso,NYM,695,70,81,31,0,34
Cal Raleigh,SEA,628,70,70,16,0,34
Ryan McMahon,COL,645,69,89,28,0,20
Yordan Alvarez,HOU,635,69,99,34,2,35
Elly De La Cruz,CIN,696,69,89,36,10,25
Jorge Soler,- - -,574,68,63,34,1,21
Nolan Schanuel,LAA,607,68,98,19,0,13
Rafael Devers,BOS,601,67,76,34,5,28
JJ Bleday,OAK,642,67,72,43,4,20
Carlos Santana,MIN,594,65,75,26,0,23
Ketel Marte,ARI,583,65,86,23,2,36
Gleyber Torres,NYY,665,65,110,26,0,15
Marcus Semien,TEX,718,64,102,27,2,23
Matt Chapman,SFG,647,64,74,39,2,27
Riley Greene,DET,584,64,77,27,6,24
Jesse Winker,- - -,508,63,72,23,0,14
Taylor Ward,LAA,663,63,91,26,2,25
Michael Busch,CHC,567,63,72,28,2,21
Seiya Suzuki,CHC,585,63,91,27,6,21
Mookie Betts,LAD,516,61,82,24,5,19
Jake Cronenworth,SDP,656,61,90,29,3,17
Christopher Morel,- - -,611,61,70,11,3,21
George Springer,TOR,614,60,79,19,3,19
Justin Turner,- - -,539,59,84,24,0,11
Brent Rooker,OAK,614,59,93,26,2,39
Andrew McCutchen,PIT,515,58,65,18,1,20
Anthony Santander,BAL,665,58,69,25,2,44
Josh Naylor,CLE,633,58,79,27,0,31
Adley Rutschman,BAL,638,58,102,21,1,19
Bryan Reynolds,PIT,692,57,115,29,3,24
Bobby Witt Jr.,KCR,709,57,123,45,11,32
Francisco Lindor,NYM,689,56,96,39,1,33
Joey Ortiz,MIL,511,56,63,25,6,11
Christian Walker,ARI,552,55,68,26,0,26
José Ramírez,CLE,682,54,93,39,2,39
Dansby Swanson,CHC,593,54,84,27,2,16
Jarren Duran,BOS,735,54,108,48,14,21
Teoscar Hernández,LAD,652,53,93,32,2,33
