Name,FA%,vFA,FA-X,FA-Z,injury
Andrés Machado,0.37317784,95.57745361328124,-4.355031285967145,9.593960080827983,0.0
Jake Irvin,0.3520521,93.56331533595112,-6.382687574989093,8.46389036594677,0.0
Joan Adon,0.52958333,94.848466466488,-6.518604485656594,8.62331084844918,0.0
Jose A. Ferrer,0.21539831,95.93037351497934,9.97099632074025,5.618470499338198,0.0
Jackson Rutledge,0.24370208,95.67056322419242,-7.017793942569347,8.891081409240037,0.0
Mitchell Parker,0.52241143,92.73862573617224,3.6111712950631087,10.469313906301224,0.0
Brad Lord,0.48214286,94.74171539961014,-9.66441062644676,6.106350368923611,0.0
Hyun Jin Ryu,0.35232499,89.58071051826505,7.4896211907689,7.516367336215102,0.0
Bowden Francis,0.53002772,92.97792004458368,-4.504208230612099,10.52412348940648,0.0
Alek Manoah,0.33769634,93.56361114475668,-3.828608707556121,9.534910111669628,1.0
Yariel Rodríguez,0.40885221,94.67266128960006,-2.264019218934785,7.292478151933863,0.0
Mike Foltynewicz,0.29382826,93.78386382824392,-6.6245382880874235,8.962953402027148,0.0
Brett Martin,0.17865707,93.56979800230704,3.84603707742371,8.982114855875105,0.0
Josh Sborz,0.47279693,96.63865382165152,-3.902880568172016,11.234834117673012,0.0
Jacob Latz,0.49579832,94.4378000033104,4.911017789679058,10.858877589338915,0.0
Glenn Otto,0.27919136,92.38402131612828,-3.2588801389925193,9.00875568747074,0.0
Cody Bradford,0.53330228,90.05571907409934,4.085287768767911,10.850942286862036,0.0
Jack Leiter,0.41039041,96.99400968515916,-5.440291844057233,10.259034666139982,0.0
Pete Fairbanks,0.53402994,97.76314305427024,-0.2699118533000815,11.11617310925932,0.0
Shane McClanahan,0.39117883,96.62570789770398,6.239623572993542,10.322855606485753,1.0
Shane Baz,0.45072273,96.50578250273324,-6.188579948580995,9.962631477674774,1.0
Kevin Kelly,0.03127327,92.10357230050224,-6.250247137887137,5.786477225167411,0.0
Adam Wainwright,0.09629351,87.83354879510728,-1.1978486932920696,8.632412636388572,0.0
Miles Mikolas,0.27249714,93.2392563492658,-4.15226187175857,8.716330761748015,0.0
Giovanny Gallegos,0.49786264,93.9844890347739,-5.355422947429969,10.580198308707784,0.0
Matthew Liberatore,0.31536487,94.13121990824855,4.2306414670722425,9.654064959149029,0.0
Kyle Leahy,0.35422602,95.44933067505865,-2.7438224199310386,9.564878969985102,0.0
Zack Thompson,0.51116505,93.60475023927172,4.457740819918351,8.903967122859537,0.0
Andre Pallante,0.51669316,94.96382111378205,-1.443006595709385,5.70468991010617,0.0
Kwang Hyun Kim,0.40975336,89.11545613885089,0.8688291192217825,9.123989788843408,0.0
Michael McGreevy,0.24605856,92.96384875125143,-5.933808900671638,7.575462236557182,0.0
Logan Webb,0.05757474,92.7683771549612,-5.477721883090541,5.7399441931601025,0.0
Jarlín García,0.46405553,93.44017094017094,9.255139994825054,7.667672964242788,0.0
Ryan Walker,0.00180886,94.23333740234376,-5.071351687113444,5.557162602742513,0.0
Sean Hjelle,0.00285132,93.1857179914202,-2.807889870234898,6.806936161858695,0.0
Tristan Beck,0.36826474,94.4565674390661,-5.7402187909948115,9.58903437495781,0.0
Keaton Winn,0.2615193,95.7778576078869,-6.227297828311012,8.766493951706659,1.0
Randy Rodríguez,0.51215175,97.50405177363643,-4.185153051658913,10.180594338311089,0.0
Landen Roupp,0.01087745,93.25333251953126,-7.382858403523763,6.019514846801758,0.0
Spencer Bivens,0.06595538,94.64926326976104,-5.087119775659898,7.747015504276051,0.0
Hayden Birdsong,0.44384198,95.6542772755781,-4.953320568144633,10.133793536281086,0.0
Andrés Muñoz,0.34179182,99.05583477598248,-7.343535596674139,7.570482785774,0.0
